ID,CATEGORY_ID,NAME,LABEL,NOTES,GROUP_BY
1174732a-ff3a-471e-bb79-9ad4f3e39d57,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kota-pariaman,Kota Pariaman,1377,cities
9a66dd38-d48d-42ee-a391-6d324863dc49,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-kuantan-singingi,Kabupaten Kuantan Singingi,1401,cities
b91399fe-3626-4f29-b7c7-a8a53c63b3ab,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-indragiri-hulu,Kabupaten Indragiri Hulu,1402,cities
442b94c8-f208-44c4-a5d2-6b029b111587,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-indragiri-hilir,Kabupaten Indragiri Hilir,1403,cities
cbf83502-98b2-4c6c-b692-50ca6903bab4,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-pelalawan,Kabupaten Pelalawan,1404,cities
aae0c26a-43af-4c18-9c03-5f0a9d996c24,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-s-i-a-k,Kabupaten S I A K,1405,cities
195daff9-f93a-4f81-86a3-1a3d7df76eaa,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-kampar,Kabupaten Kampar,1406,cities
54374ce1-54c4-4f04-a117-b3476a466969,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-rokan-hulu,Kabupaten Rokan Hulu,1407,cities
80084a86-1273-418b-bc4b-43f962170c24,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-bengkalis,Kabupaten Bengkalis,1408,cities
44a48a20-017a-471c-a0ae-220cc57bf3b5,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-rokan-hilir,Kabupaten Rokan Hilir,1409,cities
00c4fe29-bf35-4d49-a9c7-ced9ae9add49,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kabupaten-kepulauan-meranti,Kabupaten Kepulauan Meranti,1410,cities
b2a06594-dde5-4a26-b515-554ddb55a38c,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kota-pekanbaru,Kota Pekanbaru,1471,cities
617e13d8-ccba-4e26-8c62-3306cc9c6ed6,98e613d6-6c59-42fc-b60e-88a3799aa6e4,kota-d-u-m-a-i,Kota D U M A I,1473,cities
5a03046a-fad4-4101-a253-db96c6aa51ab,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-kerinci,Kabupaten Kerinci,1501,cities
31a91f67-c7f3-4e80-9eb0-9f6beee3ff52,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-merangin,Kabupaten Merangin,1502,cities
12586bba-e8f1-414f-b9c9-d74e7307e91a,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-sarolangun,Kabupaten Sarolangun,1503,cities
8321e0ba-49aa-41e5-8b66-cd323bfd7ee7,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-batang-hari,Kabupaten Batang Hari,1504,cities
21cef21c-a61e-423b-95e6-c18277f2f028,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-muaro-jambi,Kabupaten Muaro Jambi,1505,cities
77250e1a-da13-46c4-ae10-2b5e37f25433,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-tanjung-jabung-timur,Kabupaten Tanjung Jabung Timur,1506,cities
95c76c6c-c711-4757-a818-b04b93b47825,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-tanjung-jabung-barat,Kabupaten Tanjung Jabung Barat,1507,cities
3395aee2-bffa-4a9a-85e6-d39e1f9ff95d,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-tebo,Kabupaten Tebo,1508,cities
e8c39881-48ba-40d6-8d31-ba2c49c1f838,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kabupaten-bungo,Kabupaten Bungo,1509,cities
46194994-0c49-42ba-b396-a6d18521aefb,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kota-jambi,Kota Jambi,1571,cities
7fa7593f-7a6d-489a-830c-2520e6fa86f9,83fc9a14-2179-4f49-affb-bffe3bdea8cc,kota-sungai-penuh,Kota Sungai Penuh,1572,cities
